City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
562,Sebring,US,84.78,27.4956,-81.4409,Residence Inn by Marriott Sebring
570,Meulaboh,ID,75.18,4.1363,96.1285,Hotel Meuligou
574,Bairiki,KI,84.2,1.3292,172.9752,Marry's Motel
578,Trincomalee,LK,79.63,8.5711,81.2335,Silver Star Inn
580,Sharjah,AE,78.78,25.3573,55.4033,shakeel bhai room
584,Barra Patuca,HN,80.92,15.8,-84.2833,No hotel found
585,Bandarbeyla,SO,77.99,9.4942,50.8122,No hotel found
586,San Cristobal,VE,71.78,7.7669,-72.225,Terra Sur
587,Sibu,MY,75.51,2.3,111.8167,The Paramount Hotel
588,Ca Mau,VN,76.51,9.1769,105.15,Khách sạn Song Ngọc
592,Santa Rosa Del Sur,CO,77.32,7.9644,-74.0544,HOTEL MINAS DEL SUR
594,Carutapera,BR,79.32,-1.195,-46.02,No hotel found
596,Daru,PG,76.95,-9.0763,143.2092,Kuki
599,Kimbe,PG,77.63,-5.5502,150.1429,Kimbe Bay Hotel
601,Latung,PH,80.71,5.5,120.8833,No hotel found
603,Porto Novo,BJ,79.72,6.4965,2.6036,Hôtel 6500 CFA
604,Methala,IN,77.0,10.2166,76.2166,Hotel Indraprastham
605,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Prainha
606,Bodden Town,KY,86.0,19.2833,-81.25,Turtle Nest Inn
612,Lakatoro,VU,83.53,-16.0999,167.4164,No hotel found
613,Ndele,CF,78.71,8.4109,20.6473,No hotel found
615,Mabaruma,GY,77.25,8.2,-59.7833,Monty Brooms Hotel
616,Vanimo,PG,77.45,-2.6741,141.3028,CBC Guesthouse
617,Puro,PH,79.57,12.4841,123.3827,No hotel found
621,Ciudad Bolivar,VE,85.12,8.1222,-63.5497,Paoca
622,Sao Joao Da Barra,BR,75.29,-21.6403,-41.0511,Pousada Mediterrâneo
630,Catamarca,AR,81.07,-28.4696,-65.7852,Hotel de Turismo
632,Conceicao Do Araguaia,BR,76.14,-8.2578,-49.2647,No hotel found
636,Mongu,ZM,71.6,-15.2484,23.1274,Country Lodge
638,Waw,SS,83.39,7.7029,27.9953,Bahr Gazhal Hotel
640,Nuevitas,CU,82.04,21.5453,-77.2644,Hotel Caonaba
644,Labuhan,ID,76.66,-6.8844,112.2051,No hotel found
646,Port Blair,IN,80.37,11.6667,92.75,Andaman Ocean Breeze
647,Portel,BR,82.0,-1.9356,-50.8211,No hotel found
648,Dwarka,IN,75.0,22.2394,68.9678,The Dwarika Hotel
649,Jacqueville,CI,80.64,5.2052,-4.4146,Complexe hôtelier Grand Roi
654,Osmena,PH,82.54,10.5208,119.9258,No hotel found
655,Maldonado,UY,80.22,-34.6667,-54.9167,No hotel found
659,Ilhabela,BR,72.84,-23.7781,-45.3581,Vila Kebaya
660,Humberto De Campos,BR,79.29,-2.5983,-43.4611,No hotel found
663,Entre Rios,BR,75.11,-11.9419,-38.0844,No hotel found
665,Hermosillo,MX,84.24,29.0667,-110.9667,Lucerna
666,Umm Kaddadah,SD,77.0,13.6017,26.6876,No hotel found
668,Lorengau,PG,81.77,-2.0226,147.2712,Seeadler Bay Hotel
671,General Roca,AR,84.61,-39.0333,-67.5833,Hotel Austral
672,Pochutla,MX,87.82,15.7432,-96.4661,Hotel El Patio
676,Ipora,BR,71.98,-16.4419,-51.1178,No hotel found
678,Japura,ID,72.97,-0.3167,102.35,No hotel found
679,Kuruman,ZA,78.91,-27.4524,23.4325,Palermo Inn
680,Langsa,ID,74.08,4.4683,97.9683,Harmoni Hotel
687,Sembe,CG,70.02,1.6481,14.5806,No hotel found
688,Mangrol,IN,72.55,21.1167,70.1167,No hotel found
694,Delta Del Tigre,UY,79.21,-34.7633,-56.3853,No hotel found
695,Salalah,OM,78.89,17.0151,54.0924,Muscat International Hotel
698,Sumbe,AO,77.52,-11.2061,13.8437,No hotel found
699,Neiafu,TO,83.08,-18.65,-173.9833,Port Wine Guest House
